100,1.82609,1.67104
110,1.54877,1.64149
121,1.64469,1.61178
133,1.63665,2.08628
146,2.27217,2.25853
160,0.366179,1.76921
176,3.25714,4.43919
193,1.58558,1.72051
212,-2.41751,2.07392
233,1.28974,3.07111
256,1.65784,1.83381
281,1.83159,1.66302
309,1.80093,2.01042
339,1.47356,1.81118
372,1.46507,2.24021
409,0.654265,1.86187
449,1.45696,1.95109
493,1.61632,1.64259
542,1.54989,2.75203
596,2.54506,0.754751
655,1.37375,1.87638
720,1.50475,1.62919
792,1.59144,1.86935
871,1.59342,1.68805
958,1.73563,1.75896
1053,1.56806,1.46294
1158,4.25593,2.19015
1273,1.51386,1.98351
1400,1.49957,1.99851
1540,1.4863,1.51913
1694,1.73903,2.44672
1863,1.61258,1.71009
2049,1.54001,2.14684
2253,1.56766,1.75242
2478,1.80173,1.47418
2725,1.49728,1.63563
2997,1.59922,1.83679
3296,1.59682,1.79125
3625,1.88608,1.78992
3987,1.60109,1.79177
4385,1.80175,1.91744
4823,1.47937,3.07089
5305,2.28458,1.18101
5835,1.59353,1.85995
6418,1.21521,1.03616
7059,1.72848,1.68725
7764,1.97201,2.08606
8540,1.55925,1.84513
9394,1.5688,2.03182
10333,1.65045,1.85047
11366,1.73418,2.6452
12502,1.66954,1.75342
13752,1.75803,2.07719
15127,1.57021,1.77893
16639,1.80351,1.89255
18302,1.51653,1.9519
20132,0.962128,2.19447
22145,1.6467,1.77618
24359,1.75038,2.00369
26794,1.67253,1.67209
29473,1.6057,1.98296
32420,1.67074,1.95994
35662,1.07388,2.09733
39228,2.27261,1.83627
43150,2.77831,1.98245
47465,2.77808,1.64643
52211,3.32171,1.72657
57432,3.02688,1.5414
63175,2.96994,2.07135
69492,3.35618,1.71206
76441,3.44219,2.10367
84085,3.26317,1.59909
92493,3.54195,1.97117
101742,3.20138,1.68005
111916,3.82825,2.00956
123107,3.39711,1.8106
135417,2.2213,1.93545
148958,1.59749,1.71951
163853,1.92759,1.96264
180238,1.41829,1.84182
198261,2.397,2.07251
218087,1.67553,1.70787
239895,1.75352,2.0077
263884,2.00149,2.8147
290272,2.40798,1.99499
319299,2.2299,1.57685
351228,2.75445,1.885
386350,3.009,1.57496
424985,3.14102,2.4454
467483,3.09671,1.7529
514231,5.30709,2.13367
565654,3.65034,1.89481
622219,3.83102,2.31542
684440,4.8363,1.70311
752884,4.33885,2.05976
828172,6.06744,1.61349
910989,4.49534,2.19744
1002087,4.68695,1.84808
1102295,5.19172,1.47767
1212524,4.74454,1.98596
1333776,4.92757,2.09617
1467153,4.64065,1.84681
1613868,4.84872,1.98365
1775254,5.03363,1.78592
1952779,5.34842,2.01864
2148056,5.2897,2.15509
2362861,7.40444,1.76989
2599147,4.94953,1.86101
2859061,5.22095,2.00334
3144967,18.804,1.96032
3459463,21.0035,2.16471
3805409,16.454,1.94897
4185949,17.3255,2.37165
4604543,15.9113,2.70666
5064997,21.1834,2.20198
5571496,19.3763,1.93201
6128645,24.8936,2.00926
6741509,18.9115,2.03439
7415659,24.3849,1.90239
8157224,23.0318,1.99392
8972946,24.2774,1.94639
9870240,24.9924,2.04587
10857264,27.4246,2.04519
11942990,28.0755,1.82882
13137289,29.2572,2.28214
14451017,31.6729,1.99607
15896118,31.4211,1.9894
17485729,29.025,3.48488
19234301,31.0124,2.06656
21157731,29.2617,1.97416
23273504,32.432,1.89197
25600854,30.2706,1.84284
28160939,34.4188,3.80027
30977032,38.8993,1.91999
34074735,33.0335,2.1294
37482208,31.3301,2.10596
41230428,34.3866,2.14708
45353470,32.6746,1.8256
49888817,35.3142,2.03769
54877698,39.1235,2.16645
60365467,35.4139,1.94881
66402013,33.0087,1.92344
73042214,35.5257,2.25069
80346435,32.7908,1.85972
88381078,35.9242,1.86357
97219185,32.9881,1.95366
106941103,33.794,1.93705
117635213,31.6226,1.8209
129398734,35.0171,2.23498
142338607,33.1364,3.17562
156572467,36.3982,2.22857
172229713,34.1928,1.91539
189452684,35.9436,2.24273
208397952,36.3276,1.95256
229237747,35.9777,1.57924
252161521,33.1855,1.96683
277377673,36.6813,1.76519
305115440,34.3322,1.9759
335626984,36.7924,1.96711
369189682,33.6574,1.79302
406108650,36.2023,2.00516
446719515,33.9451,1.97536
491391466,36.1895,2.02196
540530612,35.6104,2.44828
594583673,35.8383,2.68374
654042040,34.2768,1.90967
719446244,36.4164,1.92802
791390868,34.8219,2.19764
870529954,36.5025,2.06698
957582949,36.0897,1.75989
1053341243,40.2484,1.42903
1158675367,42.6496,1.87786
1274542903,37.0164,1.82626
1401997193,36.1831,0.697906
1542196912,36.1933,1.83652
1696416603,41.1975,2.20541
1866058263,35.9398,3.87931
2052664089,35.819,1.92416
2257930497,37.5924,1.94697
2483723546,36.9393,2.00817
2732095900,35.6266,1.31621
3005305490,35.925,1.91211
3305836039,37.322,2.11639
3636419642,35.4862,2.06087
4000061606,36.8541,1.78106
4400067766,37.9541,1.93057
4840074542,38.8128,1.81913
5324081996,38.6988,1.95596
5856490195,39.5409,1.95701
